Id,Label,type,xcoord,ycoord,category,Modularity Class,Eigenvector Centrality,In Degree,Out Degree,Degree,Weighted Degree
376,Reforming Digital Historical Peer Review: Guidelines for Applying Digital Historiography to the Evaluative Process,Long Paper,0.0,0.0,session,14,0.008310085698683281,1,0,1,1
377,Trailblazing through Forests of Resources in Linguistics,Long Paper,0.0,0.0,session,15,0.11405521692634533,5,0,5,5
378,Approaching the Coasts of Utopia: Visualization Strategies for Mapping Early Modern Paratexts,Long Paper,0.0,0.0,session,22,0.010010898106376282,1,0,1,1
379,Browsing highly interconnected humanities databases through multi-result faceted browsers,Long Paper,0.0,0.0,session,21,0.05972286156506015,1,0,1,1
380,gMan: Creating general-purpose virtual environments for (digital) archival research,Long Paper,0.0,0.0,session,21,0.2726485182268873,6,0,6,6
381,Opening the Gates: A New Model for Edition Production in a Time of Collaboration,Long Paper,0.0,0.0,session,54,0.04358437737846283,3,0,3,3
382,When to ask for help: Evaluating projects for crowdsourcing,Long Paper,0.0,0.0,session,50,0.03820394478898158,1,0,1,1
383,CLAROS: collaborating on delivering the future of the past,Poster / Demo,0.0,0.0,session,16,0.06794800289767151,6,0,6,6
384,Semantically Rich Tools for Text Exploration: TEI and SEASR,Poster / Demo,0.0,0.0,session,50,0.013805988407752939,1,0,1,1
385,Extending the Life of the Broadside Ballad: The English Broadside Ballad Archive from Microfilm to Color Photography,Poster / Demo,0.0,0.0,session,50,0.029964596194636404,2,0,2,2
386,Virtual Touch. Towards an Interdisciplinary Research Agenda for the Arts and Humanities,Poster / Demo,0.0,0.0,session,21,0.07995314861031168,3,0,3,3
387,Wandering Jew's Chronicle Research Archive,Poster / Demo,0.0,0.0,session,63,0.03190660529433644,2,0,2,2
