Source,Target,Type,Id,Label,Weight
232,1508,Directed,1000,,1.0
233,449,Directed,251,,1.0
233,1411,Directed,892,,1.0
234,447,Directed,252,,1.0
234,1417,Directed,930,,1.0
235,447,Directed,253,,1.0
235,1578,Directed,1022,,1.0
236,447,Directed,254,,1.0
236,1578,Directed,810,,1.0
237,447,Directed,255,,1.0
237,1442,Directed,1056,,1.0
238,448,Directed,256,,1.0
238,1599,Directed,987,,1.0
239,449,Directed,257,,1.0
239,1451,Directed,908,,1.0
240,447,Directed,258,,1.0
240,1442,Directed,981,,1.0
241,447,Directed,259,,1.0
241,1578,Directed,1058,,1.0
242,447,Directed,260,,1.0
242,1519,Directed,1009,,1.0
243,449,Directed,261,,1.0
243,1503,Directed,861,,1.0
244,447,Directed,262,,1.0
244,1508,Directed,853,,1.0
245,447,Directed,263,,1.0
245,1508,Directed,954,,1.0
246,449,Directed,264,,1.0
246,1503,Directed,867,,1.0
247,447,Directed,265,,1.0
247,1442,Directed,1115,,1.0
248,447,Directed,266,,1.0
248,1578,Directed,1010,,1.0
249,450,Directed,267,,1.0
249,1412,Directed,986,,1.0
250,450,Directed,268,,1.0
250,1412,Directed,926,,1.0
251,451,Directed,269,,1.0
251,480,Directed,353,,1.0
251,1580,Directed,1029,,1.0
252,450,Directed,270,,1.0
252,1488,Directed,1101,,1.0
253,450,Directed,271,,1.0
253,1502,Directed,1054,,1.0
254,452,Directed,272,,1.0
254,1583,Directed,843,,1.0
255,453,Directed,273,,1.0
255,1409,Directed,1019,,1.0
256,453,Directed,274,,1.0
256,1409,Directed,1116,,1.0
257,453,Directed,275,,1.0
257,1409,Directed,868,,1.0
258,453,Directed,276,,1.0
258,1476,Directed,1040,,1.0
259,453,Directed,277,,1.0
259,1408,Directed,1030,,1.0
260,454,Directed,279,,1.0
260,1561,Directed,910,,1.0
261,455,Directed,280,,1.0
261,1562,Directed,854,,1.0
262,456,Directed,281,,1.0
262,1412,Directed,848,,1.0
263,457,Directed,282,,1.0
263,1473,Directed,1018,,1.0
264,458,Directed,283,,1.0
264,1546,Directed,929,,1.0
265,454,Directed,284,,1.0
265,1561,Directed,922,,1.0
266,454,Directed,285,,1.0
266,1561,Directed,984,,1.0
267,457,Directed,286,,1.0
267,1499,Directed,1130,,1.0
268,457,Directed,287,,1.0
268,1499,Directed,800,,1.0
269,457,Directed,288,,1.0
269,1499,Directed,964,,1.0
270,457,Directed,289,,1.0
270,1499,Directed,1134,,1.0
271,458,Directed,290,,1.0
271,488,Directed,394,,1.0
271,1546,Directed,1073,,1.0
272,459,Directed,291,,1.0
272,1451,Directed,820,,1.0
273,460,Directed,292,,1.0
273,1546,Directed,808,,1.0
274,461,Directed,293,,1.0
274,1492,Directed,1118,,1.0
275,460,Directed,294,,1.0
275,1546,Directed,1013,,1.0
276,462,Directed,296,,1.0
276,1596,Directed,1095,,1.0
277,463,Directed,298,,1.0
277,1528,Directed,999,,1.0
278,461,Directed,299,,1.0
278,1429,Directed,943,,1.0
279,464,Directed,300,,1.0
279,1544,Directed,1113,,1.0
280,465,Directed,301,,1.0
280,1541,Directed,823,,1.0
281,466,Directed,302,,1.0
281,1420,Directed,1139,,1.0
282,465,Directed,303,,1.0
282,1541,Directed,803,,1.0
